Token,Lemma
ex,ex
über,über
den,der
Güteryerkehr,Güteryerkehr
vor,vor
dem,der
Kriege,Krieg
mitteilte,mitteilen
.,--
 , 
„,--
Era,Era
;,--
Kohle,Kohle
",",--
Holz,Holz
",",--
Getreide,Getreide
wurden,werden
hier,hier
.,--
an,an
den,der
langen,lang
Kais,Kais
 , 
ein,ein
»,--
und,und
ausgeladen,ausladen
.,--
Zeßt,Zeßt
sreilich,sreilich
haben,haben
die,der
Riesenkrane,Riesenkrane
wenig,wenig
 , 
*,*
„,--
zu,zu
tun,tun
...,--
Die,der
drei,drei
belgischen,belgisch
Kompagnien,Kompagni
",",--
die,der
zur,zu
Beaufsichtigung,Beaufsichtigung
der,der
Rheinschiffahrt,Rheinschiffahrt
und,und
zum,zu
Schuß,Schuß
der,der
interalliierten,interalliiert
.Schiffahrts-,.Schiffahrts-
Fommission,Fommission
in,in
der,der
Nähe,Nähe
des,der
Hafens,Hafen
Quartiere,Quartier
bezogen,beziehen
haben,haben
",",--
fin-,fin
Hen,Hen
hier,hier
nict,nict
allzu,allzu
viel,viel
Abwechslung,Abwechslung
.,--
Ab,ab
und,und
zu,zu
machen,machen
sie,sie
 , 
.,--
auch,auch
zu,zu
zweien,zweien
oder,oder
dreien,dreien
einen,ein
kleinen,klein
Abstecher,Abstecher
nach,nach
Duisburg,Duisburg
Jelber,Jelber
",",--
durch,durch
dessen,der
enge,eng
Straßen,Straße
ein,ein
gewaltiger,gewaltig
Verkehr,Verkehr
flutet,fluten
.,--
 , 
„,--
Die,der
Duisburger,Duisburger
Bevölkerung,Bevölkerung
nimmt,nehmen
“,--
vort,vort
ihnen,ihnen
ebenso-,ebenso-
:,--
wenig,wenig
 , 
Notiz,Notiz
wie,wie
sie,sie
von,von
ihr,ihr
.,--
-,--
 , 
*,*
"""",--
Spie,Spie
mir,mir
Oberbürgermeister,Oberbürgermeister
.,--
Jarreis,Jarreis
versicherte,versichern
",",--
weiß,wissen
man,man
kaum,kaum
",",--
daß,daß
es,es
im,in
Duisburger,Duisburger
Hafen,Hafen
eine,ein
belgische,belgisch
Besaßung,Besaßung
gibt,geben
.,--
Es,es
ist,sein
auch,auch
bisher,bisher
verhältnismäßig,verhältnismäßig
ruhig,ruhig
in,in
Dussburg,Dussburg
zugegangen,zugegangen
",",--
frei-,frei-
Tich,Tich
hat,haben
es,es
nicht,nicht
an-,an
shweren,shw
Versuchen,Versuch
.,--
gefehlt,fehlen
",",--
',--
die,der
Ordnung,Ordnung
zu,zu
stürzen,stürzen
.,--
.,--
Troß,Troß
einiger,einiger
bedau-rlicher,bedau-rlich
Zwischenfälle,Zwischenfall
ist,sein
aber,aber
alles,alle
Ziemlich,Ziemlich
glatt,glatt
abgegangen,abgegangen
",",--
nicht,nicht
zum,zu
wenigsten,wenigster
dadurch,dadurch
",",--
daß,daß
die,der
Gewerkschaftsführer-,Gewerkschaftsführer
aller,aller
Richtwagen,Richtwag
mit,mit
der,der
Stadtverwaltung,Stadtverwaltung
und,und
ven,v
Stadtverordneten,stadtverordnete
Hand,Hand
in,in
Hand,Hand
arbeiten,arbeiten
.,--
Es,es
kam,kommen
nur,nur
zu,zu
Heinen'oder,Heinen'oder
kurzen,kurz
Arbeitseinstellungen,Arbeitseinstellung
.,--
Die,der
Entlassungen,Entlassung
",",--
die,der
bei,bei
 , 
.,--
“,--
Abschluß,Abschluß
des,der
Waffenstillstundes,Waffenstillstund
infolge,infolge
des,der
Aufhörens,Aufhören
jeder,jeder
Kriegs,Krieg
«,--
 , 
wm,wm
"""",--
arbeit,Arbeit
notwendig,notwendig
waren,sein
",",--
gingen,gehen
in,in
alker,alk
Ordnung,Ordnung
vor,vor
sich,sich
.,--
Die,der
 , 
„,--
Lebensführung,Lebensführung
der,der
Arbeiter,Arbeiter
wat,wat
troß,Troß
der,der
großen,groß
Steigerung,Steigerung
der,der
Lebensmittel,Lebensmittel
verhältnismäßig,verhältnismäßig
gut,gut
.,--
Arbeitslosigkeit,Arbeitslosigkeit
war,sein
kaum,kaum
3,3
 , 
-,--
verspüren,verspüren
",",--
ja,ja
für,für
die,der
Hochöfen,Hochöf
und,und
die,der
Kokereien,Kokereie
wurden,werden
nd,nd
 , 
-,--
Arbeiter,Arbeiter
gesucht,suchen
.,--
Die,der
Umstellung,Umstellung
auf,auf
die,der
Friedensarbeit,Friedensarbeit
vollzog,vollziehen
 , 
:,--
Rich,Rich
glatt,glatt
",",--
und,und
.,--
das,der
.,--
wäre,sein
no,no
besser,gut
gegangen,gehen
",",--
wenn,wenn
genügend,genügend
Ax,Ax
»,--
beitsfräfte,beitsfräfen
vorhanden,vorhanden
gewe,Gewe
",",--
cn,cn
',--
wären,sein
",",--
Weit,Weit
ftärker,ftärker
litten,leiden
die,der
 , 
-,--
stark,stark
spartakiftisch,spartakiftisch
verseuchten,verseucht
Orte,Ort
wie,wie
Mülheim,Mülheim
",",--
Hamborn,Hamborn
",",--
auch,auch
 , 
5,5
Düsseldorf,Düsseldorf
.,--
Dort,dort
waren,sein
Eingriffe,Eingriff
mit,mit
offaner,offan
Gewalt,Gewalt
zu,zu
beklagen,beklagen
.,--
 , 
%,%
.,--
Quisburg,Quisburg
blied,bleiden
in,in
dieser,dieser
Beziehung,Beziehung
eine,ein
„,--
Dase,Dase
“,--
und,und
wurde-,wurde-
des-,des-
 , 
wegen,wegen
.,--
von,von
Spartakisten,Spartakist
ironisch,ironisch
die,der
„,--
Hochburg,Hochburg
der,der
Ordnung,Ordnung
“,--
ge-,ge
„,--
nannt,nannen
.,--
Das,der
Zusommenarbeiten,Zusommenarbeiten
zwischen,zwischen
Stadtverwaltung,Stadtverwaltung
-,--
und,und
*,*
.,--
Arbeiterrat,Arbeiterrat
",",--
in,in
dem,der
sämtliche,sämtlicher
Richtungen,Richtung
.,--
vertreten,vertreten
waren,sein
",",--
voll,voll
»,--
 , 
.,--
208,208
sich,sich
und,und
vollzieht,vollziehen
fich,fich
völlig,völlig
reibungslos,reibungslos
.,--
Das,der
Verhältnis,Verhältnis
 , 
.,--
*,*
 , 
quischen,quischen
Stadtverwaltung,Stadtverwaltung
umd,umd
Arbeiterrat,Arbeiterrat
.,--
wurde,werden
gleih,Gleih
am,an
 , 
|,|
gweiten,gweit
'',--
Tage,Tag
:,--
der,der
Revolution,Revolution
goregelt,goregelt
",",--
-,--
;,--
;,--
 , 
/,--
Aehnlich,Aehnlich
lauteten,lauteen
die,der
Auskünfte,Auskunft
",",--
die,der
ich,ich
.,--
in,in
der,der
Deutschen,deutsch
",",--
Maschinenfabrik,Maschinenfabrik
.,--
Acttengesellschaft,Acttengesellschaft
.,--
(,--
Demag,Demag
),--
erhielt,erhalten
.,--
Seit,seit
der,der
Revolution,Revolution
--,--
so,so
hieß,heißen
es,es
---,--
ist,sein
bei,bei
uns,uns
in,in
Duisburg,Duisburg
kein,kein
größerer,groß
Streik,Streik
gewesett,Gewesett
;,--
Wir,wir
vesißen,vesißen
eine,ein
gute,gut
Bürgerwehr,Bürgerwehr
von,von
2000,2000
+,+
„,--
Mann,Mann
",",--
für,für
die,der
die,der
Düsseldorfer,Düsseldorfer
Spartakisten,Spartakist
",",--
freilich,freilich
wider,wider
hren,hr
 , 
Willen,Wille
",",--
die,der
Waffen,Waffe
geliefert,liefern
haben,haben
",",--
Gis,Gis
wollten,wollen
na,na
<,<
Hamborn,Hamborn
",",--
','
„,--
aind,aind
atf,Atf
dem,der
Wege,Weg
dorthin,dorthin
wurden,werden
ihnen,ihnen
die,der
Waffen,Waffe
abgenommen,abnehmen
.,--
 , 
','
Die,der
Umstellung,Umstellung
auf,auf
den,der
Friedonsbetrieb,Friedonsbetrieb
vollzog,vollziehen
fich,fich
ohne,ohne
Schwitz,Schwitz
*,*
%,%
;,--
rigkeiten,rigkeien
.,--
Noch,noch
kurz,kurz
vor,vor
der,der
Revolution,Revolution
",",--
hatten,haben
wir,wir
",",--
so,so
erzählte,erzählt
E,E
mir,mir
..,..
einer,einer
der,der
',--
Betricbsleiter,Betricbsleiter
",",--
.,--
mit,mit
der,der
Tankfabrikation,Tankfabrikation
begonnen,beginnen
.,--
/,--
Freilich,freilich
hatten,haben
wir,wir
uns,sich
dazu,dazu
schon,schon
im,in
Jahre,Jahr
1916,1916
erboten,erbon
",",--
aber,aber
 , 
2,2
%,%
.,--
-mön,-mön
wies,weisen
unser,unser
“,--
Anevbieten,Anevbieten
zurü,zurü
>,>
und,und
wverbot,Wverbot
',--
uns,uns
sogar,sogar
",",--
uns,uns
|,|
danernd,danernd
damit,damit
zu,zu
beschäftigen,beschäftigen
.,--
;,--
In,in
der,der
Geschoßfabrikation,Geschoßfabrikation
stellten,stellen
 , 
*,*
„,--
wir,wir
',--
täglich,täglich
5000--6000,5000--6000
Stü,Stü
>,>
Granaten,Granate
her,her
.,--
 , 
Jeßt,Jeßt
iegen,iegen
in,in
der,der
 , 
*,*
','
nieberrheintschen,nieberrheintsch
Hütte,Hütte
noc,noc
<,<
zahlreiche,zahlreich
vorgepreßte,vorgepreßt
Granatrohlinge,Granatrohlinge
wor,wor
dem,der
Schmelzofen,Schmelzofen
.,--
Wenn,wenn
man,man
der,der
Privatindustrie,Privatindustrie
freie,frei
Hand-,Hand
',--
gelassen,gelassen
.,--
hätte,haben
",",--
wäre,sein
die,der
Umstellung,Umstellung
",",--
weit,weit
schneller,schnell
und,und
wohl,wohl
auch,auch
 , 
',--
.,--
nter,Nter
geringeren,gering
Kosten,Kosten
vor,vor
sich,sich
gegangen,gehen
.,--
Unsere,unser
Duisburger,Duisburger
 , 
„,--
«,--
"""",--
Arbeiter,Arbeiter
",",--
find,find
im,in
.,--
großen,groß
und,und
ganzen,ganz
besonnene,besonnen
Leute,Leute
.,--
Unruhen,Unruhe
 , 
.,--
/,--
drohten,drohen
nur,nur
von,von
jenen,jener
",",--
die,der
aus,aus
anderen,anderer
Orten,Ort
gekommen,kommen
waren,sein
.,--
"""",--
Man,man
hat,haben
bei,bei
uns,uns
verhältnismäßig,verhältnismäßig
wenig,wenig
ungelernte,ungelernen
.,--
Arbeiter,Arbeiter
 , 
von,von
.,--
auswärts,auswärts
.,--
herangeholt,herangeholen
",",--
und,und
sobald,sobald
der,der
"""",--
Waffenstillstand,Waffenstillstand
gs,gs
»,--
[,[
Glossen,Glossen
wurde,werden
",",--
war,sein
es,es
die,der
eyste,ey
Aufgabe,Aufgabe
unserer,unser
Industriellen,industrielle
",",--
|,|
Hiese,Hiese
Elemente,Element
mleder,Mleder
ini,ini
ihre,ihr
Hoimat,Hoimat
',--
zu,zu
besördern,besördern
.,--
Daher,daher
.,--
ist,sein
 , 
/,--
ZS,ZS
-Gie,-Gie
Zahl,Zahl
der,der
erbslosen,Erbslose
hier,hier
sehr,sehr
.,--
gering,gering
",",--
ste,ste
betrug,betragen
wohl,wohl
:,--
zu,zu
!,--
2,2
"""",--
Seiner,sein
Zeit,Zeit
mehr,mehr
als,als
4090,4090
",",--
Als,als
hier,hier
Über,über
den,der
.,--
Generalstreik,Generalstreik
abe,abe
1,1
“,--
gestimmt,stimmen
wurde,werden
",",--
erftärten,erftären
sich,sich
90,90
v.,v.
H,H
:,--
dagegen,dagegen
",",--
mur,mur
10,10
:,--
v.,v.
H.,H.
dafür,dafür
;,--
 , 
GchHon,GchHon
bei,bei
Beginn,Beginn
dos,dos
.,--
Krienes,Krienes
wurden,werden
die,der
Löhne,Lohn
sehr,sehr
erhöht,erhöhen
",",--
und,und
allmählich,allmählich
auch,auch
"""",--
weiter,weiter
gesteigert,steigern
...,--
Freilich,freilich
macht,machen
sieh,sieh
bei,bei
uns,uns
','
=,=
.,--
„,--
qu,qu
die,der
Höhe,Höhe
.,--
ver,v
Lehbonsmittelpreise,Lehbonsmittelpreise
sehr,sehr
fühlbar,fühlbar
.,--
So,so
klagte,klagen
mir,mir
 , 
"""",--
+,+
"""",--
erst,erst
neulich,neulich
.,--
ein,ein
“,--
Avbetter,Avbetter
:,--
|,|
„,--
Ich,ich
verdiente,verdienen
vor,vor
dem,der
Kriege,Krieg
28.,28.
bis,bis
30.,30.
Mark,Mark
die,der
Woche,Woche
",",--
jetzt,jetzt
komms,Komm
ih,ih
auf,auf
mehr,mehr
',--
als,als
das,der
.,--
Vierfache,vierfach
Und,und
stehe,stehen
mich,mich
doh,doh
schlechter,schlecht
.,--
"""",--
4,4
;,--
;,--
 , 
1Bon,1Bon
"""",--
den-,den
"""",--
Arbeitsverhältnifsen,Arbeitsverhältnifse
wendet,wenden
.,--
sich,sich
das,der
GespräHß,GespräHß
zum,zu
 , 
Qiuslandsgeschüft,Qiuslandsgeschüft
.,--
35,35
v.-S.,v.-S.
des,der
Umsaßes,Umsaß
der,der
Domag'ging,Domag'ging
nach,nach
dem,der
 , 
-,--
3,3
Auslande,Auslande
",",--
noch,noch
Belgien,Belgien
",",--
Frankreich,Frankreich
",",--
England,England
",",--
Südamerika,Südamerika
",",--
Japan,Japan
",",--
*,*
/,/
','
Wird,werden
mon,mon
die,der
alten,alt
„,--
Beziehungen,Beziehung
zum,zu
Auslande,Auslande
wieder,wieder
amf-,amf
 , 
wenmen,Wenm
können,können
?,--
Die,der
nordischen,nordisch
Länder,Land
bestellen,bestellen
zum,zu
Teil,Teil
ins,in
 , 
Folge,Folge
der,der
niedrigen,niedrig
Valuta,Valuta
eifriger,eifrig
denn,denn
je,je
.,--
Auch,auch
Belgier,Belgier
suchen,suchen
 , 
„,--
die,der
(,--
alten,alt
Bogichungen,Bogichung
wieder,wieder
:,--
aufzunehmen,aufnehmen
.,--
',--
Einige,einiger
belgische,belgisch
 , 
Sigenton,Sigenton
",",--
die,der
.,--
vorsprachen,vorsprachen
",",--
rechnen,rechnen
.,--
sogar,sogar
auf,auf
viel,viel
größeren,groß
Absaß,Absaß
als,als
zuvoy,zuvoy
.,--
Aber,aber
---,--
und,und
wieder,wieder
klingt,klingen
mir,mir
die,der
bange,bang
Frage,Frage
ent,ent
»,--
3,3
„,--
gegen,gegen
",",--
die,der
fo,fo
oft,oft
.,--
im,in
rheinisch-wesifälischen,rheinisch-wesifälisch
Industriebezirk,Industriebezirk
an,an
mein,mein
 , 
*,*
Ohr,Ohr
schlug,schlagen
=,=
>,>
werden,werden
wir,wir
auch,auch
die,der
Rohstoffe,Rohstoff
haben,haben
",",--
um,um
gentigend,gentigend
 , 
arbeiten,arbeiten
;,--
zu,zu
können,können
?,--
Die,der
Saarkohle,Saarkohl
ist,sein
für,für
uns,uns
„,--
nicht,nicht
mehr,mehr
da,da
",",--
 , 
auf,auf
.,--
die,der
Ruhrkohle,Ruhrkohle
will,wollen
"""",--
man,man
auch,auch
die,der
',--
Hand,Hand
Jegen,Jege
.,--
Der,der
Bezuz,Bezuz
 , 
),--
der,der
Eissnerge,Eissnerge
wird,werden
imwer,imwer
mehr,mehr
für,für
uns,uns
eingeschränkt,einschränken
werden,werden
",",--
 , 
?,--
Von,von
diesen,dieser
wenig,wenig
trostveien,trostvei
Ausbliken,Ausbliko
vin,vin
die,der
Zukunft,Zukunft
',--
wenden,wenden
 , 
„,--
wir,wir
uns,sich
der,der
",",--
Vergangenheit,Vergangenheit
zu-und,zu-und
halten,halten
Umschau,Umschau
in,in
der,der
Modell,Modell
»,--
 , 
15,15
Ausstellung,Ausstellung
",",--
Da,da
ist,sein
das,der
Modell,Modell
eines,ein
Krans,Kran
",",--
der,der
für,für
den,der
Panama-,Panama
3.,3.
Kanal,Kanal
bestellt,bestellen
worden,werden
ist,sein
",",--
und,und
der,der
mit,mit
Leichtigkeit,Leichtigkeit
eine,ein
Last,Last
von,von
 , 
|,|
Heh,Heh
:,--
als,als
309,309
Tannen-Heot,Tannen-Heot
.,--
Nicht,nicht
weit,weit
.,--
ron,Ron
i8,i8
m,m
der,der
erste,erster
.,--
drehbars,Drehbar
 , 
/,--
[,[
],]
s,s
 , 
SH,SH
 , 
ks,Ks
 , 
','
gründe,gründe
liegt,liegen
.,--
 , 
','
daxr,daxr
öffentlichen,öffentlich
Diskussion,Diskussion
vers,vers
.,--
 , 
*,*
Jprechende,Jprechende
"""",--
Willkür,Willkür
schärssten,schärsst
Protest,Protest
zu,zu
erheben,erheben
.,--
 , 
Schwhnmfran,Schwhnmfran
",",--
70,70
Meter,Meter
ft,ft
er,er
in,in
Wirklichkeit,Wirklichkeit
ho,ho
.,--
Er,er
war,sein
für,für
den,der
Hafen,Hafen
von,von
Belfast,Belfast
bestimmt,bestimmen
.,--
Der,der
dortige,dortig
Hafenmeister,Hafenmeister
glaubte,glauben
nicht,nicht
so,so
recht,recht
daß,daß
die,der
Deutichen,Deutich
mit,mit
ihrer,ihr
Anbeit,Anbeit
zustande,zustande
kommen,kommen
würden,werden
",",--
und,und
wohl,wohl
deswegen,deswegen
sagte,sagen
er,er
ihnen,ihnen
zu,zu
",",--
sie,sie
dürften,dürfen
an,an
der,der
Epiße,Epiße
des,der
montierten,montiert
Krans,Kran
"""",--
die,der
deutsche,deutsch
Flagge,Flagge
hissen,hissen
",",--
Sein,sein
Schre,Schre
>,>
war,sein
niht,Niht
gering,gering
",",--
als,als
wenige,weniger
Wochen,Woche
darauf,darauf
am,an
Eim-,Eim-
gang,Gang
des,der
Belfaster,Belfaster
Hafens,Hafen
die,der
deutsche,deutsch
Flotte,Flotte
wehte,wehten
.,--
Die,der
eng,eng
lischen,lisch
Blätter,Blatt
schlugen,schlagen
Lärm,Lärm
",",--
Nunyollte,Nunyollter
der,der
Monteur,Monteur
die,der
Flagge,Flagge
herunterholen,herunterholen
",",--
Der,der
aber,aber
erklärte,erklären
kurz,kurz
.,--
"""",--
„,--
Das,der
hat,haben
mir,mir
scchon,scchon
riel,Riel
Mühe,Mühe
gemacht,machen
",",--
sie-heraufzubringen,sie-heraufzubring
",",--
iH,IH
hole,holen
sie,sie
nicht,nicht
herunter,herunter
!,--
“,--
Wehmltige,wehmltig
Exinnerungen,Exinnerung
wet,wet
das,der
Modell,Modell
eines,ein
anderen,anderer
Krans,Kran
",",--
der,der
im,in
Hafen,Hafen
von,von
Kiautschou,Kiautschou
stand,stehen
und,und
jeßt,jeßen
auf,auf
dem,der
Meeres,Meeres
»,--
 , 
heraufgeholt,heraufholen
.,--
4,4
 , 
I,I
<,<
[,[
<,<
reite,reiten
wieder,wieder
dem,der
Rheinhafen,Rheinhaf
zu,zu
.,--
Meine,mein
Blicke,Blick
schweifen,schweifen
hinüber,hinüber
nah,nah
Rhetahaufen,Rhetahaufen
",",--
zur,zu
Friedrich-Alfred-Hütte,Friedrich-Alfred-Hütte
",",--
dieser,dieser
großartigen,großartig
Ergänzung,Ergänzung
der,der
Cssener,Cssener
Werke,Werk
Krupps,Krupp
.,--
Hier,hier
voll,voll
»,--
Keht,Keht
sim,sim
die,der
Fabrikation,Fabrikation
vom,von
Rohmaterial,Rohmaterial
bis,bis
zum,zu
fertigen,fertig
Ere,Ere
zeugnis,Zeugnis
in,in
einem,ein
Zuge,Zug
",",--
ohne,ohne
weitere,weit
Erwärmung,Erwärmung
der,der
Zwischen,Zwischen
»,--
produkte,produken
",",--
Wie,wie
mag,mögen
es,es
.,--
jeßt,jeßt
hier,hier
aussehen,aussehen
?,--
Friodrich,Friodrich
Alfred,Alfred
Kvupps,Kvupps
lezte,lezt
Schöpfung,Schöpfung
liegt,liegen
Im,in
besezten,besezt
Gebiet,Gebiet
",",--
und,und
ohne,ohne
bs,bs
sonderen,sond
Paß,Paß
kann,können
ich,ich
nicht,nicht
yinüber,yinüber
.,--
So,so
begnüge,begnügen
ih,ih
mich,mich
mit,mit
dem,der
Blick,Blick
aus,aus
der,der
Ferne,Ferne
und,und
wende,wenden
mich,sich
zum,zu
eigentlichen,eigentlich
Stamm-,Stamm
siß,siß
von,von
Krupp,Krupp
",",--
nach,nach
Essen,Essen
.,--
 , 
Die,der
Verfassung,Verfassung
des,der
Freistaats,Freistaat
Danzigs,Danzig
“,--
Drahtmeldung,Drahtmeldung
der,der
„,--
Vossischen,vossisch
Zeitung,Zeitung
“,--
.,--
 , 
X,X
Danzig,Danzig
",",--
29.,29.
Zuni,Zuni
.,--
 , 
Die,der
dem,der
Freistaat,Freistaat
Danzig,Danzig
zu,zu
gebende,gebend
Verfassung,Verfassung
soll,sollen
",",--
wie,wie
der,der
Danziger,Danziger
Oberbürgermeister,Oberbürgermeister
Sahm,Sahm
in,in
der,der
leßten,leßt
Etadtverordnetensihung,Etadtverordnetensihung
“,--
bekanntgab,bekanntgeben
",",--
auf,auf
breitester,Breitester
demokratischer,demokratisch
Grundlage,Grundlage
aufgebaut,aufbauen
werden,werden
.,--
Sie,sie
soll,sollen
du:<h,du:<h
den,der
um,um
drei,drei
Mit-,Mit-
glieder,glied
",",--
Bertreter,Bertreter
.,--
der,der
Arbeiterschaft,Arbeiterschaft
",",--
verstärkten,verstärken
.,--
Magistrat,Magistrat
aus-,aus
gearbeitet,arbeiten
und,und
von,von
einem,ein
Ausschuß,Ausschuß
",",--
bestehend,bestehend
aus,aus
Mitgliedern,Mitglied
aller,aller
politischen,politisch
Parteien,Partei
",",--
vorberaten,vorberaten
werden,werden
.,--
Da,da
zum,zu
Freistaat,Freistaat
auch,auch
die,der
weiten,weit
Gebiete,Gebiet
der,der
Landkreise,Landkreis
der,der
Danziger,Danziger
Höhe,Höhe
",",--
der,der
Niederung,Niederung
Marienburg,Marienburg
sowie,sowie
der,der
Stadt,Stadt
Zoppot,Zoppot
ge-,ge
hören,hören
",",--
erbli,erbli
>,>
t,t
der,der
westpreußische,westpreußisch
Landbund,Landbund
in,in
dem,der
Vorgehen,vorgehen
des,der
Danziger,Danziger
Magistrats,Magistrat
eine,ein
Beiseiteschiebung,Beiseiteschiebung
der,der
Landbevölkerung,Landbevölkerung
",",--
erhebt,erheben
Einspruch,Einspruch
und,und
verlangt,verlangen
",",--
daß,daß
auch,auch
Vertreter,Vertreter
der,der
ländlichen,ländlich
Gebiete,Gebiet
und,und
der,der
Stadt,Stadt
Zoppot,Zoppot
zu,zu
den,der
Verfassungsberatungen,Verfassungsberatung
hex,hex
»,--
.,--
angezogen,anziehen
werden,werden
",",--
','
2,2
 , 
Die,der
badischen,badisch
Demokraten,Demokrat
zur,zu
Unterzeichnung,Unterzeichnung
„,--
Drahtmel,Drahtmel
dung,dung
der,der
„,--
Vossischen,vossisch
Zeitung,Zeitung
“,--
",",--
;,--
-,--
KK,KK
Nartlsruhe,Nartlsruhe
",",--
29.,29.
Zuni,Zuni
.,--
 , 
-,--
Dex,Dex
Landesausschuß,Landesausschuß
der,der
Deutschen,deutsch
demokratischen,demokratisch
Partei,Partei
in,in
Baden,Baden
hiolt,hiolen
am,an
Sonnabend,Sonnabend
eine,ein
aus,aus
allen,aller
Landesteilen,Landesteil
jehr,jehr
zahl,Zahl
»,--
reim,reim
besuchbe,Besuchbe
Sthung,Sthung
ab,ab
",",--
in,in
welcher,welcher
Außenminister,Außenminister
Dietrich,Dietrich
einen,ein
Ueberbli,Ueberbli
>,>
Über,über
die,der
politis,Politis
22078,22078
Abgeordnete,abgeordneter
S,S
<,<
iffer,iff
die,der
Haltung,Haltung
der,der
demokra-,demokra-
tisHen,tisHen
Fraktion,Fraktion
in,in
der,der
Nationalvevsammlung,Nationalvevsammlung
begründete,begründen
",",--
habe,haben
in,in
ihrem,ihr
zweiten,zweiter
Teil,Teil
den,der
Eindru,Eindru
>,>
erwec,erwec
>,>
en,en
können,können
",",--
als,als
wolle,wollen
die,der
Partei,Partei
nach,nach
rechts,rechts
abmarschieren,abmarschieren
.,--
Dieser,dieser
Eindru,Eindru
>,>
war,sein
",",--
wie,wie
der,der
Abgeordnets,Abgeordnet
Schiffer,Schiffer
dem,der
Redner,Redner
selbst,selbst
mitteilte,mitteilen
",",--
nicht,nicht
beab-,beab-
LEA,LEA
Auch,auch
Staatsxat,Staatsxat
Dr.,Dr.
H,H
a'as,A'as
übte,üben
an,an
der,der
Rede,Rede
Schiffers,Schiffer
ritik,Ritik
und,und
bezeichnete,bezeichnen
es,es
als,als
bedauerlich,bedauerlich
",",--
daß,daß
dur,dur
<,<
den,der
Redner,Redner
eine,ein
ganz,ganz
falsche,falsch
Vorstellung,Vorstellung
von,von
der,der
Politik,Politik
der,der
demokratischen,demokratisch
Fraktion,Fraktion
entstanden,entstehen
sei,sein
",",--
An,an
die,der
beiden,beide
mit,mit
starkem,stark
Brifall,Brifall
',--
auf,auf
»,--
genommenen,genommen
Berichte,Bericht
s9loß,s9loß
sich,sich
eine,ein
lebhafte,lebhaft
Aussprache,Aussprache
",",--
in,in
der,der
alls,alls
Gründe,Grund
für,für
und,und
gegen,gegen
URTEHRIONNG,URTEHRIONNG
des,der
Friedensvertrages,Friedensvertrag
evörtert,evörteren
und,und
erklärt,erklären
wurde,werden
",",--
daß,daß
.,--
die,der
AREALEN,AREALEN
ihre,ihr
Ent-,Ent
scheidung,Scheidung
.,--
nach,nach
bestem,best
Wissen,wissen
und,und
Gewissen,Gewissen
getroffen,treffen
habe,haben
.,--
Das,der
Ergebnis,Ergebnis
der,der
Beratungen,Beratung
wurde,werden
in,in
-,--
einer,ein
Entschließung,Entschließung
nieder,nieder
»,--
elegt,elegen
",",--
in,in
der,der
zum,zu
Ausdru,Ausdru
>,>
k,k
kommt,kommen
",",--
daß,daß
die,der
AU,AU
erke,erken
I,I
des,der
WEN,WEN
BINSDSPLEGGES,BINSDSPLEGGES
nicht,nicht
zu,zu
einer,ein
Parteisache,Parteisache
gemacht,machen
werden,werden
könne,können
.,--
Ausdruk,Ausdruk
gegeben,geben
",",--
daß,daß
diese,dieser
",",--
Frage,Frage
aus,aus
winden,winden
müsse,müssen
",",--
weil,weil
sic,sic
),--
das,der
ganze,ganz
Volk,Volk
in,in
diesen,dieser
schweren,schwer
Stunden,Stunde
zu,zu
gemein,gemein
samer,sam
Arbeit,Arbeit
zusammenfinden,zusammenfinden
müsse,müssen
.,--
+,+
[,[
77,77
 , 
Es,es
wird,werden
der,der
Erwartung,Erwartung
 , 
Unterdrückung,Unterdrückung
polnischer,polnisch
Husschreitungen,Husschreitung
.,--
Meldung,Meldung
des,der
Wolffschen,wolffsch
Telegraphen-Büros,Telegraphen-Büro
",",--
 , 
Bromberg,Bromberg
",",--
29.,29.
Zuni,Zuni
.,--
 , 
Amtlich,amtlich
.,--
wird,werden
.,--
mitgeteilt,mitteilen
:,--
Im,in
.,--
Laufe,Lauf
des,der
Vormittags,Vormittag
wurden,werden
auf,auf
dem,der
Friedrichsplaß,Friedrichsplaß
halbwücsige,halbwücsig
Zungen,Zunge
",",--
die,der
in,in
heraus-,heraus
fordernder,fordernder
Weise,Weise
polnische,polnisch
Abzeichen,Abzeichen
(,--
Weißer,Weißer
Adler,Adler
),--
trugen,tragen
",",--
gegen,gegen
Militärpersonen,Militärperson
"""",--
tätlich,tätlich
",",--
Verschiedenen,verschiedener
 , 
Goldaten,Goldat
wurden,werden
die,der
Waffen,Waffe
„,--
abgenommen,abnehmen
",",--
wobel,wobel
die,der
Zivilisten,Zivilist
:,--
auß,auß
in,in
Straßenbahnwagen,Straßenbahnwag
eindrangen,eindringen
.,--
Offiziere,Offizier
der,der
Sicherheitswehr,Sicherheitswehr
wurden,werden
von,von
der,der
Elektrischen,Elektrischen
gerissen,gerissen
",",--
der,der
Achjel-,Achjel-
täüde,Täüde
beraubt,berauben
und,und
geschlagen,schlagen
.,--
Auch,auch
ein,ein
Polizeibeamter,Polizeibeamter
wurde,werden
avg,avg
mißhandelt,mißhandeln
",",--
Da,da
die,der
Anfammlungen,Anfammlungen
immer,immer
:,--
größer,groß
wurden,werden
 , 
und,und
die,der
Polizei,Polizei
machtlos,machtlos
war,sein
",",--
wurde,werden
Militär,Militär
zur,zu
Säuberung,Säuberung
des,der
|,|
 , 
